lat,lon,Depth,CTD pressure,CTD temperature,practical_salinity,stnnbr,geotrc_ID,sigma0,tc,conservative_temp,absolute_salinity,silicate,nitrate,phosphate,oxygen,conservative_temp_resid,absolute_salinity_resid,silicate_resid,nitrate_resid,phosphate_resid,oxygen_resid,AABW_frac_total,AAIW_frac_total,ENPCW_frac_total,ESSW_frac_total,EqIW_frac_total,LCDW_frac_total,NPIW_frac_total,PDW_frac_total,PSUW_frac_total,SPCW_frac_total,SPSTSW_frac_total,UCDW_frac_total,AABW_0_frac,AAIW_0_frac,AAIW_1_frac,ENPCW_frac,ENPCW_0_frac,ENPCW_1_frac,ESSW_frac,ESSW_0_frac,ESSW_1_frac,EqIW_0_frac,EqIW_1_frac,LCDW_0_frac,LCDW_1_frac,NPIW_0_frac,NPIW_1_frac,NPIW_2_frac,PDW_0_frac,PDW_1_frac,PDW_2_frac,PSUW_frac,PSUW_0_frac,PSUW_1_frac,SPCW_frac,SPCW_0_frac,SPCW_1_frac,SPSTSW_frac,UCDW_0_frac,phosphate_remin,nitrate_to_phosphate_remin_ratio,oxygen_to_phosphate_remin_ratio,phosphate_to_phosphate_remin_ratio
53.6799,-153.8006,3003.3087488569204,3052.2,1.5695,34.6549,5,12421,27.765673660077255,0,1.3460489228860988,34.844416789552895,167.2,38.61,2.62,113.39,0.018581254560916083,-0.004604673794290193,-0.0008617765121243792,0.19567102244470647,0.07340034914054572,0.015968310455448886,0.005450101354107509,3.036771709197262e-07,0.0,0.0,0.0,0.052483788457077685,1.6348842906534227e-07,0.9420653122425209,3.3078069385383507e-07,0.0,0.0,0.0,0.005450101354107509,3.036771709197262e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026101152452348335,0.02638263600472935,0.0,1.6348842906534227e-07,0.0,0.0,0.18512899425177903,0.7569363179907419,0.0,3.3078069385383507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.019539487925828457,31.547169811320753,-305.6132075471698,1.0
53.6799,-153.8006,2503.1511289987657,2540.9,1.6942,34.6306,5,12420,27.734222835913215,0,1.5159710193330982,34.82039614541001,170.23,40.28,2.73,88.09,0.017871833606952325,-0.007962925276466137,-0.07470029282674773,0.37018927325591733,0.08798112110767198,0.038958056470193014,4.6451099766055595e-06,1.7454993007536493e-06,8.495654987890477e-07,0.0,2.688250888373031e-06,2.9184105100569533e-06,3.816931522481455e-06,0.9999800908403347,3.671664502085642e-07,1.250954603710678e-06,0.0,1.6272709141455658e-06,4.6451099766055595e-06,9.169161997778841e-07,8.285831009757651e-07,0.0,8.495654987890477e-07,0.0,0.0,0.0,0.0,0.0,2.688250888373031e-06,2.4139366332257284e-06,5.044738768312248e-07,3.624357223944096e-06,1.9257429853735914e-07,0.0,6.40314245974032e-06,0.3527051666842137,0.6472685210136613,0.0,3.671664502085642e-07,0.0,0.0,1.250954603710678e-06,0.0,0.0,1.6272709141455658e-06,0.02901484047952712,31.54378345071254,-305.5804021787778,1.0
53.6799,-153.8006,2004.0879508795128,2031.9,1.8959,34.5909,5,12419,27.684252115855543,0,1.7586024203201733,34.780497188328894,170.04,41.92,2.9,60.3,-0.04862941686263289,0.0035964229137448456,-0.6354610768595137,0.8264099190907217,0.04370724034883544,0.08485274899090456,0.0,0.0,2.4998354044687314e-06,2.999201575592602e-06,8.954496977899378e-06,3.9359151221466086e-07,9.038219388119076e-06,0.9999684530714303,1.566928328709973e-06,6.0946553825821424e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4998354044687314e-06,0.0,2.999201575592602e-06,0.0,8.954496977899378e-06,0.0,0.0,3.9359151221466086e-07,0.0,0.0,9.038219388119076e-06,0.0,0.5361257277362838,0.4638427253351466,0.0,0.0,1.566928328709973e-06,0.0,0.0,6.0946553825821424e-06,0.0,0.0,0.05204965786643893,31.547169811320753,-305.6132075471698,1.0
53.6799,-153.8006,1753.0372779520096,1776.3,2.0283,34.5617,5,12418,27.648966865246393,0,1.9102675394697135,34.75091497495776,167.8,42.65,2.93,50.1,0.018062323695287708,-0.002426272620894565,-0.0006997630751754969,0.204043193350536,0.08983817836504437,0.023933608759030278,0.0020093466328623424,0.0,5.695776690080586e-06,1.0627046935821788e-05,1.5705945488697968e-05,0.0098353695239414,3.860123862146564e-06,0.9881108460453893,0.0,8.54890483004537e-06,0.0,0.0,0.0020093466328623424,0.0,0.0,0.0,3.5577392573305993e-06,2.1380374327499866e-06,0.0,5.065156647027443e-06,5.5618902887943445e-06,4.868615562445217e-06,1.0837329926252752e-05,0.002190788035985556,0.007644581487955844,2.1519832660963622e-06,0.0,1.7081405960502014e-06,3.0725464474124164e-06,0.7682439984281022,0.21986377507083976,0.0,0.0,0.0,0.0,6.416635109690916e-06,2.132269720354452e-06,0.0,0.0,0.0023669552043005305,31.413734374765813,-304.3205517555439,1.0
53.6799,-153.8006,1501.5905465608023,1520.6,2.2065,34.5234,5,12417,27.602318249096697,0,2.106741542463427,34.71190712999062,163.51,43.15,3.0,39.5,0.01390152234034403,0.0034303418712866574,0.006515136712494041,0.11792523916118824,0.04522623321085373,0.014271375337600034,0.005299607297599974,0.0,1.0925218203172813e-19,4.2099205584876207e-19,7.079544783580734e-19,0.03754717630069862,0.0,0.9501967485144809,0.006956467887220543,2.0387367249086338e-19,0.0,0.0,0.005299607297599974,0.0,0.0,0.0,1.0925218203172813e-19,0.0,0.0,2.0581825094894882e-19,2.1517380489981328e-19,1.8285097062517966e-19,5.251035077328937e-19,0.03754717630069862,1.286069799220392e-19,0.0,0.0,0.0,0.0059951176504083326,0.9165333308220345,0.027668300042038158,0.0,0.0,0.006956467887220543,0.0,2.0387367249086338e-19,0.0,0.0,0.0,-0.04346490391036374,9.962264150943396,-96.50943396226414,1.0
53.6799,-153.8006,1251.8138054565434,1266.9,2.4388,34.4707,5,12416,27.53888717734526,0,2.3563997175917883,34.65791351698403,157.37,43.78,3.0,29.11,0.015733759426133087,0.009198489885527295,0.007290320753270407,0.16141918956267887,0.11433572788748503,0.01763853173144625,0.0030161690353589727,0.0,0.0,0.0,0.0,0.023832952814917232,0.0,0.9676631167614627,0.005487761388261288,0.0,0.0,0.0,0.0030161690353589727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023832952814917232,6.10558647148971e-20,0.0,0.0,0.0,0.15048322895750646,0.7939295902771978,0.02325029752675839,0.0,0.005487761388261288,0.0,0.0,0.0,0.0,0.0,0.0,0.011541874505592594,15.51987829032023,-150.34882093747723,0.9999999999999999
53.6799,-153.8006,1001.5418925812507,1013.0,2.7594,34.4,5,12415,27.452336878115148,0,2.693694410831794,34.58528727586671,148.1,43.97,3.03,19.0,0.03097429389221773,0.02278070276599209,0.011927097429094147,0.44115376004712203,0.11815839663062544,0.0450141725490667,3.331387570179347e-08,1.430354390688712e-06,3.0230882648291086e-06,5.859049028290277e-06,6.033460246748842e-06,0.01444431845972806,2.8343748002695077e-06,0.983294300232842,0.002236593271774042,4.947181183079371e-06,0.0,6.272138662083986e-07,3.331387570179347e-08,6.557128725741471e-07,7.746415181145648e-07,0.0,2.1866667032413123e-06,8.364215615877964e-07,0.0,1.9301874438295346e-06,3.928861584460742e-06,2.4611594682310077e-06,3.572300778517834e-06,0.01444424985931776,6.860041029980833e-08,1.674622299744106e-06,3.7165952984118537e-07,7.880929706842163e-07,0.35945486978893804,0.6238392125749191,2.1786898487160482e-07,0.0,0.0022361684405188664,4.248312551754498e-07,0.0,3.7756743646666017e-06,1.1715068184127692e-06,0.0,6.272138662083986e-07,0.012985746383706628,27.46425764628448,-266.0599959483809,1.0
56.0585,-156.9628,85.00124966853821,85.8,7.3101,32.3126,1,12449,25.267556135935365,0,7.333074574594355,32.470500757802924,19.26,14.96,1.33,234.36,0.08757287478114328,0.5423004340823212,-0.047225713493979526,3.629219569545178,0.014727759706899324,0.3746018552137116,0.0,3.82371886336606e-07,0.13521755044012237,2.575343301219699e-07,6.374859017960488e-07,0.0,6.779976532417095e-07,0.011358523282833932,0.8534217917227197,1.7916455257799635e-07,0.0,0.0,0.0,1.610556233826889e-07,2.213162629539171e-07,0.0,0.13521735308325725,1.9735686512652764e-07,0.0,2.4840741536809456e-07,9.126914753875352e-09,3.6885298376711543e-07,2.686329180289333e-07,0.0,0.0,1.461104498167582e-07,1.0891879128687581e-07,4.229684121380755e-07,2.9182921033792594e-07,0.011358083716956116,1.4773666747735956e-07,0.0,0.8534215429135713,2.4880914835432346e-07,0.0,0.0,1.7916455257799635e-07,0.0,0.0,0.23448041703315328,31.547169811320753,-305.6132075471698,1.0
55.5958,-156.3469,249.5635060543166,252.0,5.3036,33.7445,2,12485,26.658970305610637,0,5.291902671804141,33.91746941826483,64.47,35.24,2.51,101.05,3.552713678800501e-15,-7.105427357601002e-15,-7.105427357601002e-14,0.0,-4.440892098500626e-16,9.947598300641403e-14,0.0,2.4191750317323685e-17,0.08922929633739328,4.7844406194774175e-16,4.1232228925125134e-16,2.0002908442156906e-17,0.2693739742482663,0.20371885244012455,0.4376778769742147,2.3101347848978663e-16,0.0,0.0,0.0,1.1493741676373094e-17,1.2698008640950589e-17,0.0,0.017248630003831516,0.07198066633356176,0.0,4.7844406194774175e-16,0.0,0.0,4.1232228925125134e-16,2.0002908442156906e-17,0.0,0.06328918791615658,0.08011755497903204,0.1259672313530777,0.08578311414809274,0.02194054547775156,0.09599519281428025,0.0,0.12169363922828322,0.3159842377459315,0.0,0.0,2.3101347848978663e-16,0.0,0.0,0.43439185879424735,17.389799617072924,-168.46368379039396,1.0
55.5958,-156.3469,224.52185557309645,226.7,5.3003,33.7422,2,12484,26.656759786781777,0,5.290689889225361,33.914479592339006,64.56,35.25,2.5,100.9,1.3322676295501878e-14,0.0,-9.947598300641403e-14,0.0,0.0,-1.5631940186722204e-13,0.0,0.0,0.08882983372326117,7.435461331985447e-17,0.0,1.2376345919765959e-17,0.2669761161540828,0.20610725454949747,0.4380867955731586,4.2530598647175285e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.01707998395266486,0.07174984977059631,0.0,7.435461331985447e-17,0.0,0.0,0.0,1.2376345919765959e-17,0.0,0.06368907793603956,0.07912116845802461,0.12416586976001864,0.08641015476359963,0.023198523337793937,0.09649857644810389,0.0,0.12635863259594143,0.31172816297721717,0.0,0.0,4.2530598647175285e-17,0.0,0.0,0.4267733840802229,17.82865915741895,-172.7151355874961,1.0
