stnnbr,c2,c3,c4,bottle flag,geotrc_ID,c7,c8,lat,lon,bottom depth,CTD pressure,CTD temperature,c14,c15,practical_salinity,bottle salinity flag,c18,c19,oxygen,bottle oxygen flag,silicate,silicate flag,nitrate,nitrate flag,c26,c27,phosphate,phosphate flag,PO,NO,SiO,absolute_salinity,conservative_temp,potential_temp,sigma0,depth
4.0,3,8,8,2,12593,20180928,2124,54.6603,-155.1707,5716,254.4,3.9725,33.9629,2,33.9637,2,28.7,2,24.75,2,94.44,2,44.78,2,0.0,2,3.13,2,509.9,458.2204,1441.35,34.13773006016594,3.960149910762376,3.954944620275131,26.977959698745963,251.95926008891297
4.0,5,13,13,2,12613,20180929,609,54.6602,-155.1702,5716,303.6,3.9059,34.0315,2,34.0312,2,23.3,2,20.62,2,100.0,2,44.36,2,0.01,2,3.11,2,502.66999999999996,450.02479999999997,1520.62,34.206766347380665,3.8894643261112103,3.8849585941446714,27.03969664135775,300.65149310137457
4.0,3,5,5,2,12594,20180928,2124,54.6603,-155.1707,5716,303.6,3.9044,34.0281,2,34.0342,2,23.4,2,21.5,2,101.17,2,44.64,2,0.0,2,3.13,2,506.65,453.6152,1539.05,34.209781848870115,3.887936425436643,3.8834606603332342,27.04223527235672,300.65149048123004
4.0,3,1,1,2,12595,20180928,2124,54.6603,-155.1707,5716,405.0,3.7974,34.1116,2,34.1154,2,21.6,2,18.17,2,109.27,2,44.42,2,0.0,2,3.11,2,500.21999999999997,448.1556,1657.22,34.29337376639337,3.7730794808241925,3.7694343102775094,27.11987209120275,400.9686035636281
4.0,5,10,10,2,12614,20180929,609,54.6602,-155.1702,5716,405.4,3.8042,34.1089,2,34.1103,2,20.7,2,18.34,2,108.29,2,44.14,2,0.01,2,3.11,2,500.38999999999993,445.61519999999996,1642.69,34.288252824440896,3.779882218155586,3.776186949299435,27.115142189634753,401.3642384445356
4.0,8,35,35,2,12642,20180929,1405,54.6601,-155.1706,5716,407.8,3.8143,34.0961,2,34.0966,2,21.3,2,21.86,2,107.41,2,44.18,2,0.01,2,3.05,2,494.61,449.5224,1633.0099999999998,34.27451544010301,3.7899196254101586,3.7860901949196872,27.10327283960578,403.7380143124735
4.0,8,31,31,2,12643,20180929,1405,54.6601,-155.1706,5716,510.3,3.6507,34.1772,2,34.1778,2,17.9,2,18.03,2,116.49,2,44.35,2,0.0,2,3.1,2,498.53,447.33799999999997,1765.3799999999999,34.357578438889284,3.6186124555915273,3.615584301130535,27.185958305547274,505.09235127216135
4.0,8,29,29,2,12644,20180929,1405,54.6601,-155.1706,5716,610.9,3.4751,34.2369,2,34.2381,2,16.8,2,14.97,2,123.61,2,44.2,2,0.0,2,3.12,2,498.57000000000005,442.826,1869.1200000000001,34.41925974933639,3.4358381356795507,3.433370494644914,27.252540618500916,604.5195243952217
4.0,5,7,7,2,12615,20180929,609,54.6602,-155.1702,5716,811.1,3.0994,34.3367,2,34.3372,2,15.8,2,13.74,2,137.86,2,44.39,2,0.0,2,3.12,2,497.34000000000003,443.4352,2081.64,34.520775941395414,3.046646817368534,3.045001061052452,27.36952913661321,802.2434591723884
4.0,8,25,25,2,12645,20180929,1405,54.6601,-155.1706,5716,812.1,3.1301,34.3303,2,34.3315,2,15.0,2,14.26,2,136.1,2,44.43,2,0.0,2,3.15,2,502.51,444.3424,2055.76,34.51505283296298,3.0771233233909756,3.075437026788872,27.362192260687834,803.2306250717523
4.0,8,23,23,2,12646,20180929,1405,54.6601,-155.1706,5716,1014.2,2.7814,34.4051,2,34.4066,2,16.4,2,17.51,2,148.2,2,44.5,2,0.0,2,3.13,2,502.65999999999997,448.27,2240.51,34.59204634428401,2.715351185944623,2.714185406427479,27.455808769750092,1002.639310352196
4.0,5,4,4,2,12616,20180929,609,54.6602,-155.1702,5716,1214.3,2.4686,34.4677,2,34.4695,2,23.7,3,21.03,2,157.07,2,44.29,2,0.0,2,3.09,2,499.98,449.7572,2377.08,34.656556876775134,2.389873422714941,2.389065248380869,27.535007545717008,1199.8869168405563
4.0,8,19,19,2,12647,20180929,1405,54.6601,-155.1706,5716,1216.5,2.5033,34.4613,2,34.4626,2,21.1,2,20.89,2,156.88,2,44.38,2,0.0,2,3.09,2,499.84,450.4884,2374.0899999999997,34.64963000631914,2.4241237272013674,2.423279907709889,27.526619520687063,1202.0545330815314
4.0,8,17,17,2,12648,20180929,1405,54.6601,-155.1706,5716,1421.6,2.2849,34.5066,2,34.5077,2,29.0,3,31.78,2,162.93,2,43.9,2,0.01,2,3.07,2,507.63,456.73199999999997,2475.7300000000005,34.69586290509285,2.1920233995800675,2.191401462651597,27.5826392124045,1404.0361735271122
4.0,5,1,1,2,12617,20180929,609,54.6602,-155.1702,5716,1623.7,2.0534,34.5535,2,34.5513,2,44.7,2,43.3,2,167.7,2,43.02,2,0.0,2,3.01,2,509.84999999999997,459.7336,2558.8,34.74025136795572,1.9472773253584503,1.9468222065095144,27.63757208951347,1602.8738786916444
4.0,8,13,13,2,12649,20180929,1405,54.6601,-155.1706,5716,1624.2,2.0580000000000003,34.5526,2,34.5536,2,44.0,2,45.23,2,167.8,2,43.02,2,0.0,2,2.98,2,507.13,461.66360000000003,2562.23,34.74256490243812,1.9517531912277974,1.9513177262025692,27.63906329353449,1603.3655893768541
